Project,Location,Grid,Waypoint,Site,Frame,Time,Period,Ptime,OpCode,Reader,Family,Genus,Species,Species_sp,Full_name,Common_name,Code,MaxN,Has_fed,Frame_in,Frame_out,Start,End,Duration,Movie,Lat,Lon
NERP 2012,Oceanic Shoals,2,WP45,45,86533,57.6887,3H,56.0193,WP45,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018039,1,No,392,301486,0.26,200.99,200.73,201.97,-11.8966,127.109216
NERP 2012,Oceanic Shoals,2,WP45,45,68626,45.7507,3H,44.0813,WP45,Phil,Scombridae,Scomberomorus,commerson/semifasciatus,,Scomberomorus commerson/semifasciatus,Narrow/broad-barred Spanish mackerel,37441007,2,No,392,301486,0.26,200.99,200.73,201.97,-11.8966,127.109216
NERP 2012,Oceanic Shoals,2,WP46,46,36702,24.468,3H,23.608,WP46,Phil,Carangidae,Caranx,ignobilis,,Caranx ignobilis,Giant trevally,37337027,1,No,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP46,46,60265,40.1767,3H,39.3167,WP46,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,3,No,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP46,46,36603,24.402,3H,23.542,WP46,Phil,Carcharhinidae,Carcharhinus,amblyrhynchos,,Carcharhinus amblyrhynchos,Grey reef shark,37018030,1,No,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP46,46,24503,16.3353,3H,15.4753,WP46,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,3,No,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP46,46,173886,115.924,3H,115.064,WP46,Phil,Echeneidae,Echeneis,naucrates,,Echeneis naucrates,Sharksucker,37336001,3,Yes,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP46,46,172488,114.992,3H,114.132,WP46,Phil,Mobulidae,Manta,birostris,,Manta birostris,Manta ray,37041004,1,No,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP46,46,53367,35.578,3H,34.718,WP46,Phil,Scombridae,Scomberomorus,commerson/semifasciatus,,Scomberomorus commerson/semifasciatus,Narrow/broad-barred Spanish mackerel,37441007,13,No,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP46,46,72760,48.5067,3H,47.6467,WP46,Phil,Sphyrnidae,Sphyrna,sp1,sp,Sphyrna sp,Hammerhead shark,,1,No,711,283350,0.47,188.9,188.43,195.47,-11.900133,127.106416
NERP 2012,Oceanic Shoals,2,WP47,47,156382,104.2547,3H,102.242,WP47,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,10,No,1908,318012,1.27,212.01,210.74,212.02,-11.90725,127.1043
NERP 2012,Oceanic Shoals,2,WP48,48,137830,91.8867,3H,90.1687,WP48,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,14,No,1219,300048,0.81,200.03,199.22,200.03,-11.911633,127.101116
NERP 2012,Oceanic Shoals,2,WP48,48,201383,134.2553,3H,132.5373,WP48,Phil,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,1219,300048,0.81,200.03,199.22,200.03,-11.911633,127.101116
NERP 2012,Oceanic Shoals,2,WP48,48,27197,18.1313,3H,16.4133,WP48,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,1,No,1219,300048,0.81,200.03,199.22,200.03,-11.911633,127.101116
NERP 2012,Oceanic Shoals,2,WP48,48,106455,70.97,3H,69.252,WP48,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,1,No,1219,300048,0.81,200.03,199.22,200.03,-11.911633,127.101116
NERP 2012,Oceanic Shoals,2,WP49,49,229924,153.2827,3H,148.2687,WP49,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,23,No,5708,312251,3.81,208.17,204.36,208.17,-11.922466,127.081166
NERP 2012,Oceanic Shoals,2,WP49,49,306433,204.2887,3H+,NA,WP49,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,1,No,5708,312251,3.81,208.17,204.36,208.17,-11.922466,127.081166
NERP 2012,Oceanic Shoals,2,WP50,50,273572,182.3813,3H,179.6327,WP50,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,18,No,942,311817,0.63,207.88,207.25,207.88,-11.928416,127.077516
NERP 2012,Oceanic Shoals,2,WP50,50,278033,185.3553,3H+,NA,WP50,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,1,No,942,311817,0.63,207.88,207.25,207.88,-11.928416,127.077516
NERP 2012,Oceanic Shoals,2,WP51,51,80761,53.8407,3H,50.238,WP51,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,23,No,4935,309747,3.29,206.5,203.21,206.5,-11.900316,127.065833
NERP 2012,Oceanic Shoals,2,WP51,51,204371,136.2473,3H,132.6447,WP51,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,1,No,4935,309747,3.29,206.5,203.21,206.5,-11.900316,127.065833
NERP 2012,Oceanic Shoals,2,WP51,51,283826,189.2173,3H+,NA,WP51,Phil,Carcharhinidae,Carcharhinus,sp1,sp,Carcharhinus sp,Requiem sharks,,1,No,4935,309747,3.29,206.5,203.21,206.5,-11.900316,127.065833
NERP 2012,Oceanic Shoals,2,WP51,51,12109,8.0727,3H,4.47,WP51,Phil,Echeneidae,Echeneis,naucrates,,Echeneis naucrates,Sharksucker,37336001,1,No,4935,309747,3.29,206.5,203.21,206.5,-11.900316,127.065833
NERP 2012,Oceanic Shoals,2,WP51,51,185096,123.3973,3H,119.7947,WP51,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,3,No,4935,309747,3.29,206.5,203.21,206.5,-11.900316,127.065833
NERP 2012,Oceanic Shoals,2,WP52,52,214545,143.03,3H,142.3693,WP52,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,21,No,466,312115,0.31,208.08,207.77,208.08,-11.897499,127.076666
NERP 2012,Oceanic Shoals,2,WP52,52,278535,185.69,3H+,NA,WP52,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018033,1,No,466,312115,0.31,208.08,207.77,208.08,-11.897499,127.076666
NERP 2012,Oceanic Shoals,2,WP52,52,162661,108.4407,3H,107.78,WP52,Phil,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,,4,No,466,312115,0.31,208.08,207.77,208.08,-11.897499,127.076666
NERP 2012,Oceanic Shoals,2,WP53,53,114621,76.414,3H,75.7353,WP53,Phil,Carangidae,,sp2,sp,Carangidae sp,Jacks and trevallies,,1,No,525,298558,0.35,199.04,198.69,199.03,-11.899816,127.082783
NERP 2012,Oceanic Shoals,2,WP53,53,252009,168.006,3H,167.3273,WP53,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,14,No,525,298558,0.35,199.04,198.69,199.03,-11.899816,127.082783
NERP 2012,Oceanic Shoals,2,WP53,53,44376,29.584,3H,28.9053,WP53,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,1,No,525,298558,0.35,199.04,198.69,199.03,-11.899816,127.082783
NERP 2012,Oceanic Shoals,2,WP54,54,298123,198.7487,3H+,NA,WP54,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,9,No,1459,314351,0.97,209.57,208.59,209.57,-11.894466,127.083433
NERP 2012,Oceanic Shoals,2,WP54,54,80448,53.632,3H,52.356,WP54,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,2,Yes,1459,314351,0.97,209.57,208.59,209.57,-11.894466,127.083433
NERP 2012,Oceanic Shoals,2,WP54,54,77368,51.5787,3H,50.3027,WP54,Phil,Carcharhinidae,Carcharhinus,sp1,sp,Carcharhinus sp,Requiem sharks,,1,No,1459,314351,0.97,209.57,208.59,209.57,-11.894466,127.083433
NERP 2012,Oceanic Shoals,2,WP55,55,54863,36.5753,3H,33.162,WP55,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,6,No,3908,313826,2.61,209.22,206.61,209.22,-11.895666,127.094166
NERP 2012,Oceanic Shoals,2,WP55,55,155261,103.5073,3H,100.094,WP55,Phil,Carcharhinidae,Carcharhinus,brevipinna,,Carcharhinus brevipinna,Spinner shark,37018023,1,No,3908,313826,2.61,209.22,206.61,209.22,-11.895666,127.094166
